"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",1,0.1,0.333333333333333,-0.666666666666667,0.75,1,1,1,0.333333333333333,1.5,0,0,0.107784431137725,0.0675117184714368,NA,0,1,0.118172406386296,0.0721153846153846,0.541843090008674
"Brown Inca",4,0.4,1.18333333333333,0.0458333333333334,0.375,0.931372549019608,0.666666666666667,0.618805389595822,0.434848484848485,1.125,0.490196078431372,0.360655737704918,0.134730538922156,0.131374119640381,NA,1.02985079767287,2.80064794033427,0.330959306550124,0.330987762237762,0.426697222109736
"Buff-tailed Coronet",4,0.4,1.25263929618768,0.0631598240469208,0,0.986851851851852,0.666666666666667,0.884331755730476,0.827132072613059,1.125,0.313725490196078,0.163934426229508,0.134730538922156,0.0642795275398773,NA,0.446623274972098,1.5630253575874,0.184706467748903,0.370235297489396,0.748608334207686
"Collared Inca",4,0.4,1.52424242424242,0.131060606060606,0.25,0.944444444444444,0.666666666666667,0.654990340141755,0.717929292929293,1.5,0,0.163934426229508,0.107784431137725,0.060660509691012,NA,0.983087758574785,2.67269615442102,0.315838936107331,0.382211538461538,0.579378723356739
"Fawn-breasted Brilliant",1,0.1,0.0833333333333333,-0.916666666666667,1,1,1,1,0.0833333333333333,1.5,0,0,0.107784431137725,0.0203532330851137,NA,0,1,0.118172406386296,0.0721153846153846,0.343345104189439
"Gorgeted Sunangel",2,0.2,0.747311827956989,-0.126344086021505,0.625,0.948559670781893,0.888888888888889,0.720630143164065,0.449639308561318,1.375,0.117647058823529,0.114754098360656,0.116766467065868,0.0698474863134768,NA,0.624168939350872,1.86669397671848,0.220591719215627,0.194711538461538,0.457007023725049
"Speckled Hummingbird",1,0.1,0.225806451612903,-0.774193548387097,0.875,1,1,1,0.225806451612903,1.875,0,0,0.0868263473053892,0.0356618376922945,NA,0,1,0.118172406386296,0.0745192307692308,0.459778862637773
"Tawny-bellied Hermit",3,0.3,2.8,0.6,0.5,0.888888888888889,0.777777777777778,0.552770798392567,0.9,2,0,0,0.0778443113772455,0.110596844444672,NA,1.03972077083992,2.82842712474619,0.334242039619529,0.216346153846154,0.924703452941424
"Violet-tailed Sylph",4,0.4,1.85,0.2125,0.125,0.95,0.666666666666667,0.678939743706775,0.791379310344828,1.25,0.0784313725490196,0.19672131147541,0.125748502994012,0.101659580013199,NA,0.928177769452333,2.52989492296576,0.298963770951336,0.297330901856764,0.745344107834045
