"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Burmeistera multiflora",1,0.111111111111111,0.193548387096774,-0.806451612903226,0.888888888888889,1,1,1,1,2.375,0,0,0.102941176470588,0.0181512605042017,NA,0,1,0.2421875,0.19905255682595,0.364535284032331
"Centropogon solanifolius",1,0.111111111111111,0.4,-0.6,0.777777777777778,1,1,1,1,2.5,0,0,0.101102941176471,0.0313270485859318,NA,0,1,0.17578125,0.19905255682595,0.617334790519372
"Drymonia tenuis",1,0.111111111111111,0.387096774193548,-0.612903225806452,0.666666666666667,1,1,1,1,2.375,0,0,0.102941176470588,0.0195298372513562,NA,0,1,0.2421875,0.19905255682595,0.560122624192122
"Fuchsia macrostigma",2,0.222222222222222,0.633333333333333,-0.183333333333333,0.333333333333333,0.875,0.661437827766148,0.875,1,1.875,0.121951219512195,0.172413793103448,0.121323529411765,0.0316483516483516,NA,0.693147180559945,2,0.22265625,0.398105113651899,0.47605611727164
"Gasteranthus pansamalanus",1,0.111111111111111,0.266666666666667,-0.733333333333333,1,1,1,1,1,2.5,0,0,0.101102941176471,0.0289738430583501,NA,0,1,0.17578125,0.19905255682595,0.488542799880626
"Glossoloma oblongicalyx",2,0.222222222222222,0.45,-0.275,0.444444444444444,0.958333333333333,0.760345316287277,0.875,1,1.875,0.121951219512195,0.114942528735632,0.121323529411765,0.028439763001975,NA,0.562335144618808,1.75476535060332,0.22265625,0.349290529667175,0.398809908435752
"Mezobromelia capituligera",2,0.222222222222222,0.85,-0.075,0.555555555555556,0.875,0.661437827766148,0.875,1,1.625,0.390243902439024,0.367816091954023,0.121323529411765,0.028439763001975,NA,0.693147180559945,2,0.06640625,0.398105113651899,0.665199941814153
"Palicourea acetosoides",2,0.222222222222222,0.787096774193548,-0.106451612903226,0.222222222222222,0.989583333333333,0.916644252908691,0.875,1,1.75,0.365853658536585,0.344827586206897,0.125,0.0205030849549122,NA,0.271189373041844,1.31152341404742,0.26171875,0.261062088903237,0.544389415826437
"Palicourea demissa",4,0.444444444444444,3.03225806451613,0.508064516129032,0,0.946428571428571,0.678232998312527,0.625,1,2.375,0,0,0.102941176470588,0.0106403940886699,NA,0.940447988655326,2.56112851788714,0.1703125,0.50979917984529,0.849987666189652
"Palicourea lineata",2,0.222222222222222,2,0.5,0.111111111111111,0.985294117647059,0.887743568075421,0.875,1,NA,0,NA,0,NA,NA,0.336495757583516,1.40003292973449,0.4453125,0.278680134304176,1
