"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Bomarea pardina",2,0.181818181818182,1.8135593220339,0.406779661016949,0.6,0.9875,0.884712410550861,0.9,1,1.33333333333333,0,0,0.227272727272727,0.33003300330033,NA,0.348832095843032,1.41741118113173,0.238095238095238,0.304104732376158,0.871133675319848
"Drymonia tenuis",4,0.363636363636364,3.10489510489511,0.526223776223776,0,0.866666666666667,0.520007849234323,0.7,1,1.33333333333333,0,0,0.227272727272727,0.0795615275813296,NA,1.19734013399678,3.31129759092711,0.456043956043956,0.710436943853287,0.506524750369098
"Mezobromelia capituligera",3,0.272727272727273,1.59333886452531,0.197779621508435,0.2,0.995,0.948145343202578,0.8,1,1,0.5,0.333333333333333,0.272727272727273,0.167244923164782,NA,0.22445109055581,1.25163549305466,0.554945054945055,0.268537656337645,0.409614413636964
"Palicourea acetosoides",3,0.272727272727273,1.48820670854569,0.16273556951523,0.4,0.975,0.794669742723353,0.8,1,1,0.5,0.666666666666667,0.272727272727273,0.16558135031107,NA,0.612869452461949,1.8457200132751,0.684798534798535,0.395998139530815,0.142805198423402
"Palicourea demissa",2,0.181818181818182,2,0.5,0.8,0.925,0.679135104228841,0.9,1,NA,0,NA,0,NA,NA,0.682908104700472,1.97962633005252,0.0769230769230769,0.424727660765833,1
"Wercklea ferox",1,0.0909090909090909,1,0,1,1,1,1,1,NA,0,NA,0,NA,NA,0,1,0.043956043956044,0.214549409814409,1
