"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",2,0.111111111111111,1.33333333333333,0.166666666666667,0.454545454545455,0.941176470588235,0.941176470588235,0.685994340570035,0.666666666666667,2.3,0,0,0.0742924528301887,0.0395256916996047,2941562359.8741,0.693147180559945,2,0.134461060361053,0.133333333333333,0.633274208657915
"Brown Inca",3,0.166666666666667,2.33333333333333,0.444444444444444,0.272727272727273,0.882352941176471,0.882352941176471,0.54232614454664,0.777777777777778,2.3,0,0,0.0742924528301887,0.0395256916996047,419430397.854167,1.09861228866811,3,0.201691590541579,0.166666666666667,0.731675663351629
"Collared Inca",1,0.0555555555555556,0.25,-0.75,0.818181818181818,1,1,1,0.25,1.9,0,0,0.0872641509433962,0.0478468899521531,1677720700.50048,0,1,0.0672305301805265,0.133333333333333,0.138646883853214
"Gorgeted Sunangel",2,0.111111111111111,1.5,0.25,0.545454545454545,0.941176470588235,0.941176470588235,0.685994340570035,0.75,2.7,0,0,0.0613207547169811,0.0336700336700337,2941562359.8741,0.693147180559945,2,0.134461060361053,0.1,0.768621786840241
"Green-crowned Brilliant",2,0.111111111111111,1.25,0.125,0.636363636363636,0.941176470588235,0.941176470588235,0.685994340570035,0.625,1.9,0,0,0.0872641509433962,0.0478468899521531,2941562359.8741,0.693147180559945,2,0.134461060361053,0.166666666666667,0.537243573680482
"Green-crowned Woodnymph",1,0.0555555555555556,0.2,-0.8,0.909090909090909,1,1,1,0.2,1.7,0,0,0.0966981132075472,0.053475935828877,1677720700.50048,0,1,0.0672305301805265,0.166666666666667,0
"Rufous-tailed Hummingbird",2,0.111111111111111,0.533333333333333,-0.233333333333333,0.727272727272727,0.941176470588235,0.941176470588235,0.685994340570035,0.266666666666667,1.5,0.326530612244898,0.326530612244898,0.110849056603774,0.0606060606060606,2941562359.8741,0.693147180559945,2,0.134461060361053,0.266666666666667,0.0960306349774337
"Speckled Hummingbird",1,0.0555555555555556,1,0,1,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0672305301805265,0.0333333333333333,1
"Stripe-throated Hermit",4,0.222222222222222,2.2,0.3,0.0909090909090909,0.823529411764706,0.823529411764706,0.453742606486515,0.55,1.7,0,0,0.0966981132075472,0.0556586270871985,6710885302.00018,1.38629436111989,4,0.268922120722106,0.333333333333333,0.374258498080845
"Tawny-bellied Hermit",3,0.166666666666667,1.45,0.15,0.363636363636364,0.882352941176471,0.882352941176471,0.54232614454664,0.483333333333333,1.3,0.489795918367347,0.489795918367347,0.120283018867925,0.0699300699300699,419430397.854167,1.09861228866811,3,0.201691590541579,0.333333333333333,0.268324336648371
"Violet-tailed Sylph",5,0.277777777777778,3.75,0.55,0,0.764705882352941,0.764705882352941,0.391076944437522,0.75,1.8,0.183673469387755,0.183673469387755,0.0943396226415094,0.0505050505050505,838860790,1.6094379124341,5,0.336152650902632,0.3,0.620584101458771
"White-whiskered Hermit",4,0.222222222222222,2.2,0.3,0.181818181818182,0.823529411764706,0.823529411764706,0.453742606486515,0.55,1.7,0,0,0.0966981132075472,0.0556586270871985,6710885302.00018,1.38629436111989,4,0.268922120722106,0.333333333333333,0.374258498080845
