"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",1,0.2,0.333333333333333,-0.666666666666667,0.428571428571429,1,1,1,0.333333333333333,2,0,0,0.120689655172414,0.117647058823529,NA,0,1,0.212676172140822,0.24,0.207518749639422
"Buff-tailed Coronet",3,0.6,1.66666666666667,0.222222222222222,0,0.75,0.5,0.467707173346743,0.583333333333333,1.25,0.625,0.625,0.181034482758621,0.209150326797386,NA,1.03972077083992,2.82842712474619,0.601539054070291,0.56,0.432417854008331
"Collared Inca",1,0.2,0.25,-0.75,0.571428571428571,1,1,1,0.25,1,0,0,0.103448275862069,NA,NA,0,1,0.212676172140822,0.32,0
"Fawn-breasted Brilliant",1,0.2,0.5,-0.5,0.714285714285714,1,1,1,0.5,2,0,0,0.120689655172414,0.125490196078431,NA,0,1,0.212676172140822,0.16,0.5
"Gorgeted Sunangel",1,0.2,0.333333333333333,-0.666666666666667,1,1,1,1,0.333333333333333,2.25,0,0,0.112068965517241,0.0752941176470588,NA,0,1,0.212676172140822,0.12,0.471679166426281
"Green-crowned Brilliant",1,0.2,0.5,-0.5,0.285714285714286,1,1,1,0.5,1,0,0,0.103448275862069,NA,NA,0,1,0.212676172140822,0.32,0.44211410869774
"Tawny-bellied Hermit",1,0.2,0.25,-0.75,0.857142857142857,1,1,1,0.25,1,0,0,0.103448275862069,NA,NA,0,1,0.212676172140822,0.32,0
"Violet-tailed Sylph",2,0.4,1.16666666666667,0.0833333333333333,0.142857142857143,0.75,0.75,0.612372435695795,0.583333333333333,1.5,0.375,0.375,0.155172413793103,0.171122994652406,NA,0.693147180559945,2,0.425352344281644,0.28,0.55788589130226
