"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Burmeistera cylindrocarpa",1,0.125,0.5,-0.5,0.555555555555556,1,1,1,1,2.4,0,0,0.0735294117647059,0.0833333333333333,1677720700.50048,0,1,0.125,0.14865088937534,0.5
"Centropogon solanifolius",3,0.375,2.25,0.416666666666667,0,0.714285714285714,0.487950036474267,0.714285714285714,1,1,0,0,0.0882352941176471,NA,419430397.854167,1.09861228866811,3,0.375,0.44595266812602,0.6
"Columnea mastersonii",1,0.125,0.25,-0.75,0.666666666666667,1,1,1,1,1,0,0,0.0882352941176471,NA,1677720700.50048,0,1,0.25,0.14865088937534,0
"Columnea medicinalis",1,0.125,0.25,-0.75,0.777777777777778,1,1,1,1,1,0,0,0.0882352941176471,NA,1677720700.50048,0,1,0.25,0.14865088937534,0
"Drymonia tenuis",2,0.25,1,0,0.111111111111111,0.857142857142857,0.654653670707977,0.857142857142857,1,1.6,0.4,0.4,0.102941176470588,0.125,2941562359.8741,0.693147180559945,2,0.25,0.29730177875068,0.5
"Faramea calyptrata",2,0.25,1.25,0.125,0.222222222222222,0.857142857142857,0.654653670707977,0.857142857142857,1,1.6,0,0,0.112745098039216,0.125,2941562359.8741,0.693147180559945,2,0.3125,0.29730177875068,0.5
"Meriania tomentosa",1,0.125,0.25,-0.75,0.888888888888889,1,1,1,1,1.6,0,0,0.112745098039216,0.125,1677720700.50048,0,1,0.25,0.14865088937534,0
"Palicourea demissa",2,0.25,0.75,-0.125,0.333333333333333,0.857142857142857,0.654653670707977,0.857142857142857,1,1.2,0.6,0.6,0.132352941176471,0.166666666666667,2941562359.8741,0.693147180559945,2,0.375,0.29730177875068,0.25
"Palicourea lineata",2,0.25,1.25,0.125,0.444444444444444,0.857142857142857,0.654653670707977,0.857142857142857,1,1.6,0,0,0.112745098039216,0.125,2941562359.8741,0.693147180559945,2,0.3125,0.29730177875068,0.5
"Pitcairnia sodiroi",1,0.125,0.25,-0.75,1,1,1,1,1,1,0,0,0.0882352941176471,NA,1677720700.50048,0,1,0.25,0.14865088937534,0
