"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Andean Emerald",1,0.166666666666667,0.25,-0.75,0.5,1,1,1,0.25,1.4,0,0,0.166666666666667,0.118681318681319,1677720700.50048,0,1,0.187660957345613,0.285714285714286,0
"Booted Racket-tail",1,0.166666666666667,0.25,-0.75,0.666666666666667,1,1,1,0.25,1.4,0,0,0.166666666666667,0.118681318681319,1677720700.50048,0,1,0.187660957345613,0.285714285714286,0
"Buff-tailed Coronet",1,0.166666666666667,1,0,0.833333333333333,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.187660957345613,0.0714285714285714,1
"Green-crowned Woodnymph",1,0.166666666666667,0.25,-0.75,1,1,1,1,0.25,1.4,0,0,0.166666666666667,0.118681318681319,1677720700.50048,0,1,0.187660957345613,0.285714285714286,0
"Stripe-throated Hermit",5,0.833333333333333,2.41666666666667,0.283333333333333,0,0.2,0.2,0.2,0.483333333333333,1,1,1,0.208333333333333,0.180602006688963,838860790,1.6094379124341,5,0.938304786728063,0.814285714285714,6.49000292358916e-17
"Tawny-bellied Hermit",2,0.333333333333333,0.666666666666667,-0.166666666666667,0.333333333333333,0.8,0.8,0.632455532033676,0.333333333333333,1.6,0,0,0.145833333333333,0.125874125874126,2941562359.8741,0.693147180559945,2,0.375321914691225,0.428571428571429,0.115771782604519
"White-whiskered Hermit",3,0.5,1.16666666666667,0.0555555555555556,0.166666666666667,0.6,0.6,0.447213595499958,0.388888888888889,1.6,0,0,0.145833333333333,0.143236074270557,419430397.854167,1.09861228866811,3,0.562982872036838,0.571428571428571,0.193426403617271
