"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-crowned Brilliant","Green-fronted Lancebill","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph"
"Bomarea pardina",0,0,0,0,0,1,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,0,1,0
"Columnea strigosa",0,0,0,0,0,0,0,0,0,0,1,0
"Drymonia collegarum",0,1,0,0,0,0,0,0,0,0,0,0
"Drymonia tenuis",0,1,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,1,0,0,0,0,0,0,0,0,1,0
"Gasteranthus quitensis",1,0,0,0,0,0,0,0,0,0,0,1
"Glossoloma oblongicalyx",0,0,0,0,0,0,1,0,0,0,0,0
"Guzmania amplectens",0,1,0,0,0,0,0,0,0,0,0,1
"Guzmania jaramilloi",0,0,0,0,0,0,0,1,0,0,0,1
"Guzmania squarrosa",0,1,0,1,0,0,1,0,0,1,1,1
"Macleania stricta",0,0,0,0,0,0,1,0,0,1,0,0
"Meriania tomentosa",0,0,1,0,0,0,1,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,1,0,0,0
"Palicourea demissa",1,0,0,0,1,0,0,0,0,0,0,0
"Psammisia aberrans",0,1,0,0,0,0,0,0,0,0,0,0
"Sarcopera anomala",1,0,0,0,0,0,0,0,0,0,0,0
