"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",3,0.214285714285714,3,0.666666666666667,0.142857142857143,0.846153846153846,0.846153846153846,0.531085004543794,1,NA,0,0,0,NA,419430397.854167,1.09861228866811,3,0.233757036415792,0.157894736842105,1
"Brown Inca",3,0.214285714285714,1.33333333333333,0.111111111111111,0.285714285714286,0.846153846153846,0.846153846153846,0.531085004543794,0.444444444444444,1,0,0,0.25,0.45,419430397.854167,1.09861228866811,3,0.233757036415792,0.368421052631579,0
"Collared Inca",1,0.0714285714285714,0.5,-0.5,0.857142857142857,1,1,1,0.5,1,0,0,0.125,NA,1677720700.50048,0,1,0.0779190121385974,0.105263157894737,0.369070246428543
"Fawn-breasted Brilliant",2,0.142857142857143,1.33333333333333,0.166666666666667,0.428571428571429,0.923076923076923,0.923076923076923,0.679366220486758,0.666666666666667,1,0,0,0.25,0.3,2941562359.8741,0.693147180559945,2,0.155838024277195,0.210526315789474,0.386852807234542
"Green-fronted Lancebill",1,0.0714285714285714,0.5,-0.5,1,1,1,1,0.5,1,0,0,0.125,NA,1677720700.50048,0,1,0.0779190121385974,0.105263157894737,0.369070246428543
"Stripe-throated Hermit",2,0.142857142857143,2,0.5,0.571428571428571,0.923076923076923,0.923076923076923,0.679366220486758,1,NA,0,0,0,NA,2941562359.8741,0.693147180559945,2,0.155838024277195,0.105263157894737,1
"Tawny-bellied Hermit",2,0.142857142857143,2,0.5,0.714285714285714,0.923076923076923,0.923076923076923,0.679366220486758,1,NA,0,0,0,NA,2941562359.8741,0.693147180559945,2,0.155838024277195,0.105263157894737,1
"Violet-tailed Sylph",5,0.357142857142857,3.33333333333333,0.466666666666667,0,0.692307692307692,0.692307692307692,0.372104203767625,0.666666666666667,1,0,0,0.25,0.45,838860790,1.6094379124341,5,0.389595060692987,0.473684210526316,0.218104291985532
