"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",4,0.444444444444444,2.08333333333333,0.270833333333333,0,0.625,0.625,0.395284707521047,0.520833333333333,1.2,0.0833333333333333,0.0833333333333333,0.173076923076923,0.16256157635468,6710885302.00018,1.38629436111989,4,0.508761885579259,0.555555555555556,0.256885213410317
"Green-crowned Woodnymph",3,0.333333333333333,1.08333333333333,0.0277777777777778,0.4,0.75,0.75,0.5,0.361111111111111,1.2,0.0833333333333333,0.0833333333333333,0.173076923076923,0.16256157635468,419430397.854167,1.09861228866811,3,0.381571414184444,0.5,0.113147192765458
"Rufous-tailed Hummingbird",1,0.111111111111111,0.25,-0.75,1,1,1,1,0.25,1.4,0,0,0.153846153846154,0.112244897959184,1677720700.50048,0,1,0.127190471394815,0.222222222222222,0
"Stripe-throated Hermit",3,0.333333333333333,1.16666666666667,0.0555555555555556,0.6,0.75,0.75,0.5,0.388888888888889,1.2,0.25,0.5,0.173076923076923,0.142857142857143,419430397.854167,1.09861228866811,3,0.381571414184444,0.444444444444444,0.193426403617271
"Tawny-bellied Hermit",3,0.333333333333333,1.83333333333333,0.277777777777778,0.8,0.75,0.75,0.5,0.611111111111111,1.6,0,0,0.134615384615385,0.120879120879121,419430397.854167,1.09861228866811,3,0.381571414184444,0.333333333333333,0.5
"White-whiskered Hermit",4,0.444444444444444,2.58333333333333,0.395833333333333,0.2,0.625,0.625,0.395284707521047,0.645833333333333,1,0.583333333333333,0.333333333333333,0.192307692307692,0.157142857142857,6710885302.00018,1.38629436111989,4,0.508761885579259,0.5,0.418961737803439
