"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",3,0.25,1.65406006674082,0.218020022246941,0.153846153846154,0.886363636363636,0.547415107266231,0.818181818181818,1,1.91666666666667,0,0,0.0848069289065319,0.033802991296452,NA,1.06085694715802,2.88884551680244,0.336,0.362985442397614,0.538369753247165
"Burmeistera cylindrocarpa",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.615384615384615,1,1,1,1,2.08333333333333,0,0,0.0712739083363407,0.0226300137810981,NA,0,1,0.096,0.125650693429737,0.580610140438786
"Centropogon solanifolius",1,0.0833333333333333,1,0,0.692307692307692,1,1,1,1,NA,0,0,0,NA,NA,0,1,0.032,0.125650693429737,1
"Columnea mastersonii",1,0.0833333333333333,0.461538461538462,-0.538461538461538,0.461538461538462,1,1,1,1,2.58333333333333,0,0,0.0662215806568026,0.0183195349656509,NA,0,1,0.208,0.125650693429737,0.625974993297811
"Columnea medicinalis",1,0.0833333333333333,0.153846153846154,-0.846153846153846,0.769230769230769,1,1,1,1,2.58333333333333,0,0,0.0662215806568026,0.0153884093711467,NA,0,1,0.208,0.125650693429737,0.285448688136525
"Drymonia teuscheri",1,0.0833333333333333,0.153846153846154,-0.846153846153846,0.846153846153846,1,1,1,1,2.58333333333333,0,0,0.0662215806568026,0.0153884093711467,NA,0,1,0.208,0.125650693429737,0.285448688136525
"Fuchsia macrostigma",2,0.166666666666667,0.397435897435897,-0.301282051282051,0.307692307692308,0.96969696969697,0.768706114785807,0.909090909090909,1,1.83333333333333,0.290322580645161,0.290322580645161,0.0875135330205702,0.0192355117139334,NA,0.562335144618808,1.75476535060332,0.304,0.220487483109783,0.346496671944257
"Macleania stricta",1,0.0833333333333333,0.666666666666667,-0.333333333333333,0.923076923076923,1,1,1,1,3.41666666666667,0,0,0.0461927102129195,0.0255338651069913,NA,0,1,0.048,0.125650693429737,0.845215681182111
"Meriania tomentosa",4,0.333333333333333,3.04761904761905,0.511904761904762,0,0.968379446640316,0.737331116453721,0.727272727272727,1,2.5,0.118279569892473,0.118279569892473,0.064056297365572,0.0382162484382783,NA,0.803346853205764,2.23300196581738,0.296,0.280578245434919,0.904068344943845
"Palicourea demissa",1,0.0833333333333333,0.206896551724138,-0.793103448275862,0.538461538461538,1,1,1,1,1.91666666666667,0,0,0.0848069289065319,0.0397976104426209,NA,0,1,0.232,0.125650693429737,0.384671887089842
"Psammisia sodiroi",2,0.166666666666667,0.630541871921182,-0.184729064039409,0.230769230769231,0.981818181818182,0.834847109936722,0.909090909090909,1,1.75,0.21505376344086,0.21505376344086,0.0920245398773006,0.0501795957754785,NA,0.450561208866305,1.5691925832142,0.288,0.197170136205664,0.469792410674845
"Renealmia sessilifolia",2,0.166666666666667,0.568965517241379,-0.21551724137931,0.384615384615385,0.96969696969697,0.768706114785807,0.909090909090909,1,1.5,0.376344086021505,0.376344086021505,0.101046553590761,0.0303718606009475,NA,0.562335144618808,1.75476535060332,0.328,0.220487483109783,0.498206738243315
"Sarcopera anomala",4,0.333333333333333,2.587319243604,0.396829810901001,0.0769230769230769,0.872727272727273,0.492365963917331,0.727272727272727,1,1.91666666666667,0,0,0.0848069289065319,0.029034734662541,NA,1.26500137527307,3.54309760883236,0.346666666666667,0.445192671439029,0.579315707519108
"Tillandsia complanata",1,0.0833333333333333,0.137931034482759,-0.862068965517241,1,1,1,1,1,1.91666666666667,0,0,0.0848069289065319,0.0329751629381716,NA,0,1,0.232,0.125650693429737,0.243762393350124
