"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",1,0.142857142857143,0.5,-0.5,0.111111111111111,1,1,1,1,1,0,0,0.1,NA,1677720700.50048,0,1,0.181818181818182,0.157832612936686,0.369070246428543
"Centropogon solanifolius",1,0.142857142857143,1,0,0.222222222222222,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0909090909090909,0.157832612936686,1
"Columnea picta",1,0.142857142857143,0.333333333333333,-0.666666666666667,0.333333333333333,1,1,1,1,1,0,0,0.2,0.5,1677720700.50048,0,1,0.272727272727273,0.157832612936686,0
"Heliconia impudica",1,0.142857142857143,1,0,0.444444444444444,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0909090909090909,0.157832612936686,1
"Palicourea acetosoides",1,0.142857142857143,0.333333333333333,-0.666666666666667,0.555555555555556,1,1,1,1,1,0,0,0.2,0.5,1677720700.50048,0,1,0.272727272727273,0.157832612936686,0
"Palicourea demissa",2,0.285714285714286,1.5,0.25,0,0.833333333333333,0.645497224367903,0.833333333333333,1,1,0,0,0.1,NA,2941562359.8741,0.693147180559945,2,0.272727272727273,0.315665225873371,0.613147192765458
"Psammisia sodiroi",1,0.142857142857143,1,0,0.666666666666667,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0909090909090909,0.157832612936686,1
"Psammisia ulbrichiana",1,0.142857142857143,0.5,-0.5,0.777777777777778,1,1,1,1,1,0,0,0.1,NA,1677720700.50048,0,1,0.181818181818182,0.157832612936686,0.369070246428543
"Renealmia sessilifolia",1,0.142857142857143,0.333333333333333,-0.666666666666667,0.888888888888889,1,1,1,1,1,0,0,0.2,0.5,1677720700.50048,0,1,0.272727272727273,0.157832612936686,0
"Stromanthe stromanthoides",1,0.142857142857143,0.5,-0.5,1,1,1,1,1,1,0,0,0.1,NA,1677720700.50048,0,1,0.181818181818182,0.157832612936686,0.369070246428543
