"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Bomarea pardina",1,0.125,0.5,-0.5,0.5,1,1,1,1,2.4,0,0,0.0710659898477157,0.0400500625782228,1677720700.50048,0,1,0.105263157894737,0.137206729252294,0.5
"Centropogon solanifolius",2,0.25,0.583333333333333,-0.208333333333333,0.2,0.857142857142857,0.654653670707977,0.857142857142857,1,1.5,0.290909090909091,0.290909090909091,0.114213197969543,0.0649087221095335,2941562359.8741,0.693147180559945,2,0.368421052631579,0.274413458504587,0
"Columnea ciliata",1,0.125,0.333333333333333,-0.666666666666667,0.6,1,1,1,1,2.3,0,0,0.0786802030456853,0.0418300653594771,1677720700.50048,0,1,0.157894736842105,0.137206729252294,0.207518749639422
"Drymonia tenuis",3,0.375,0.916666666666667,-0.0277777777777778,0.1,0.714285714285714,0.487950036474267,0.714285714285714,1,1.4,0.390909090909091,0.390909090909091,0.121827411167513,0.0697167755991285,419430397.854167,1.09861228866811,3,0.526315789473684,0.411620187756881,0
"Fuchsia macrostigma",1,0.125,0.333333333333333,-0.666666666666667,0.7,1,1,1,1,2.3,0,0,0.0786802030456853,0.0418300653594771,1677720700.50048,0,1,0.157894736842105,0.137206729252294,0.207518749639422
"Gasteranthus quitensis",1,0.125,0.333333333333333,-0.666666666666667,0.8,1,1,1,1,2.2,0,0,0.0812182741116751,0.0427807486631016,1677720700.50048,0,1,0.157894736842105,0.137206729252294,0.207518749639422
"Meriania tomentosa",1,0.125,0.333333333333333,-0.666666666666667,0.9,1,1,1,1,2.2,0,0,0.0812182741116751,0.0427807486631016,1677720700.50048,0,1,0.157894736842105,0.137206729252294,0.207518749639422
"Mezobromelia capituligera",4,0.5,2.25,0.3125,0,0.571428571428571,0.377964473009227,0.571428571428571,1,1.5,0.309090909090909,0.309090909090909,0.114213197969543,0.0649087221095335,6710885302.00018,1.38629436111989,4,0.473684210526316,0.548826917009175,0.407836178068269
"Palicourea acetosoides",2,0.25,1.25,0.125,0.3,0.857142857142857,0.654653670707977,0.857142857142857,1,1.7,0,0,0.0989847715736041,0.0570409982174688,2941562359.8741,0.693147180559945,2,0.263157894736842,0.274413458504587,0.44211410869774
"Palicourea demissa",1,0.125,0.5,-0.5,1,1,1,1,1,2.4,0,0,0.0710659898477157,0.0400500625782228,1677720700.50048,0,1,0.105263157894737,0.137206729252294,0.5
"Renealmia sessilifolia",2,0.25,0.666666666666667,-0.166666666666667,0.4,0.857142857142857,0.654653670707977,0.857142857142857,1,2.1,0.00909090909090909,0.00909090909090909,0.0888324873096447,0.055363321799308,2941562359.8741,0.693147180559945,2,0.315789473684211,0.274413458504587,0.115771782604519
