"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Sparkling Violetear","Tawny-bellied Hermit","Violet-tailed Sylph","White-whiskered Hermit"
"Besleria solanoides",5.11111111111111,0.222222222222222,0.222222222222222,0.888888888888889,0.111111111111111,0.444444444444444,0
"Columnea mastersonii",0,0,0,0,1,0,1
"Meriania tomentosa",0,0,2.5,0,0,1,0
"Psammisia sodiroi",2,0,0,0,0,0,0
"Sarcopera anomala",3.33333333333333,0,0.666666666666667,3.33333333333333,0,0,0
"Tillandsia complanata",1,0.5,0,0,0,0,0
